Apogee|Count
<100|37
100-200|7860
200-300|9478
300-400|6591
400-500|5089
500-600|7691
600-700|2027
700-800|2875
800-900|3299
900-1000|2222
1000-2000|6244
2000-3000|587
3000-4000|293
4000-5000|182
5000-6000|135
6000-7000|87
7000-8000|55
8000-9000|54
9000-10000|36
10000-11000|31
11000-12000|40
12000-13000|36
13000-14000|65
14000-15000|89
15000-16000|36
16000-17000|46
17000-18000|88
18000-19000|153
19000-20000|261
20000-21000|89
21000-22000|111
22000-23000|45
23000-24000|60
24000-25000|30
25000-26000|38
26000-27000|97
27000-28000|55
28000-29000|42
29000-30000|49
30000-31000|87
31000-32000|66
32000-33000|80
33000-34000|164
34000-35000|253
35000-36000|1545
36000-37000|789
37000-38000|135
38000-39000|119
39000-40000|130
40000-41000|58
41000-42000|47
42000-43000|29
43000-44000|7
44000-45000|8
45000-46000|6
46000-47000|7
48000-49000|6
49000-50000|7
>50000|175
