"Date/Time (UTC)","LAN","SMA","GEO"
"2022-07-17 01:59:59",57.175,35786.42,35786
"2022-07-17 10:00:00",57.164,35786.35,35786
"2022-07-17 18:00:00",57.168,35786.194,35786
"2022-07-18  86
"2022-07-22 10:00:00",57.198,35787.042,35786
"2022-07-22 16:59:59",57.211,35787.081,35786
"2022-07-23 01:59:59",57.201,35787.047,35786
"2022-07-23 10:00:00",57.197,35786.979,35786
"2022-07-23 16:59:59",57.205,35787.001,35786
"2022-07-24 01:59:59",57.197,35786.957,35786
"2022-07-24 10:00:00",57.195,35786.872,35786
"2022-07-24 16:59:59",57.2,35786.902,35786
"2022-07-25 01:59:59",57.193,35786.874,35786
"2022-07-25 10:00:00",57.192,35786.788,35786
"2022-07-25 16:59:59",57.198,35786.826,35786
"2022-07-26 01:59:59",57.191,35786.821,35786
"2022-07-26 10:00:00",57.19,35786.724,35786
"2022-07-26 16:59:59",57.196,35786.759,35786
"2022-07-27 01:59:59",57.19,35786.774,35786
"2022-07-27 10:00:00",57.189,35786.678,35786
"2022-07-27 16:59:59",57.193,35786.709,35786
"2022-07-28 01:59:59",57.19,35786.743,35786
"2022-07-28 10:00:00",57.19,35786.65,35786
"2022-07-28 16:59:59",57.2,35786.614,35786
"2022-07-29 02:30:00",57.191,35786.681,35786
"2022-07-29 10:00:00",57.188,35786.678,35786
"2022-07-29 16:59:59",57.202,35786.573,35786
"2022-07-30 02:30:00",57.19,35786.594,35786
"2022-07-30 10:00:00",57.187,35786.481,35786
"2022-07-30 16:59:59",57.197,35786.302,35786
"2022-07-31 02:30:00",57.19,35786.279,35786
"2022-07-31 10:00:00",57.185,35786.153,35786
"2022-07-31 18:00:00",57.192,35786,35786
"2022-08-01 01:59:59",57.195,35786.028,35786
"2022-08-01 10:00:00",57.188,35785.941,35786
"2022-08-01 18:00:00",57.196,35785.866,35786
"2022-08-02 01:59:59",57.201,35785.972,35786
"2022-08-02 10:00:00",57.193,35785.979,35786
"2022-08-02 18:00:00",57.206,35786,35786
"2022-08-03 01:59:59",57.213,35786.184,35786
"2022-08-03 10:00:00",57.205,35786.278,35786
"2022-08-03 18:00:00",57.211,35786.408,35786
"2022-08-04 01:59:59",57.221,35786.615,35786
"2022-08-04 10:00:00",57.219,35786.804,35786
"2022-08-04 18:00:00",57.221,35786.931,35786
"2022-08-05 01:59:59",57.23,35787.098,35786
"2022-08-05 10:00:00",57.226,35787.287,35786
"2022-08-05 18:00:00",57.22,35787.358,35786
"2022-08-06 01:59:59",57.226,35787.318,35786
"2022-08-06 10:00:00",57.225,35787.298,35786
"2022-08-06 18:00:00",57.208,35787.273,35786
"2022-08-07 01:59:59",57.213,35787.247,35786
"2022-08-07 10:00:00",57.213,35787.266,35786
"2022-08-07 18:00:00",57.2,35787.266,35786
"2022-08-08 01:59:59",57.206,35787.205,35786
"2022-08-08 10:00:00",57.208,35787.269,35786
"2022-08-08 18:00:00",57.192,35787.264,35786
"2022-08-09 01:59:59",57.2,35787.192,35786
"2022-08-09 10:00:00",57.2,35787.276,35786
"2022-08-09 18:00:00",57.188,35787.27,35786
"2022-08-10 01:59:59",57.195,35787.173,35786
"2022-08-10 10:00:00",57.193,35787.262,35786
"2022-08-10 18:00:00",57.182,35787.238,35786
"2022-08-11 01:59:59",57.189,35787.125,35786
"2022-08-11 10:00:00",57.188,35787.198,35786
"2022-08-11 18:00:00",57.181,35787.109,35786
"2022-08-12 01:59:59",57.185,35787.041,35786
"2022-08-12 10:00:00",57.179,35787.138,35786
"2022-08-12 18:00:00",57.176,35786.979,35786
"2022-08-13 01:59:59",57.182,35786.862,35786
"2022-08-13 10:00:00",57.172,35786.812,35786
"2022-08-13 18:00:00",57.175,35786.58,35786
"2022-08-14 01:59:59",57.176,35786.453,35786
"2022-08-14 10:00:00",57.168,35786.356,35786
"2022-08-14 18:00:00",57.172,35786.156,35786
"2022-08-15 01:59:59",57.175,35786.067,35786
"2022-08-15 10:00:00",57.165,35786.038,35786
"2022-08-15 18:00:00",57.173,35785.95,35786
"2022-08-16 01:59:59",57.179,35785.94,35786
"2022-08-16 10:00:00",57.168,35785.996,35786
"2022-08-16 18:00:00",57.179,35786.008,35786
"2022-08-17 01:59:59",57.18,35785.731,35786
"2022-08-17 10:00:00",57.171,35785.755,35786
"2022-08-17 18:00:00",57.185,35785.721,35786
"2022-08-18 01:59:59",57.189,35785.897,35786
"2022-08-18 10:00:00",57.182,35786.007,35786
"2022-08-18 18:00:00",57.195,35786.093,35786
"2022-08-19 01:59:59",57.206,35786.321,35786
"2022-08-19 10:00:00",57.199,35786.489,35786
"2022-08-19 18:00:00",57.209,35786.618,35786
"2022-08-20 01:59:59",57.215,35786.83,35786
"2022-08-20 10:00:00",57.213,35786.967,35786
"2022-08-20 18:00:00",57.213,35787.046,35786
"2022-08-21 01:59:59",57.217,35787.091,35786
"2022-08-21 10:00:00",57.214,35786.954,35786
"2022-08-21 18:00:00",57.205,35787.003,35786
"2022-08-22 01:59:59",57.215,35786.997,35786
"2022-08-22 10:00:00",57.212,35786.881,35786
"2022-08-22 18:00:00",57.202,35786.947,35786
"2022-08-23 01:59:59",57.212,35786.951,35786
"2022-08-23 10:00:00",57.21,35786.833,35786
"2022-08-23 18:00:00",57.2,35786.907,35786
"2022-08-24 01:59:59",57.21,35786.921,35786
"2022-08-24 10:00:00",57.207,35786.793,35786
"2022-08-24 18:00:00",57.199,35786.867,35786
"2022-08-25 01:59:59",57.208,35786.887,35786
"2022-08-25 10:00:00",57.208,35786.769,35786
"2022-08-25 18:00:00",57.202,35786.821,35786
"2022-08-26 01:59:59",57.208,35786.849,35786
"2022-08-26 10:00:00",57.208,35786.744,35786
"2022-08-26 18:00:00",57.202,35786.771,35786
"2022-08-27 01:59:59",57.205,35786.81,35786
"2022-08-27 10:00:00",57.198,35786.673,35786
"2022-08-27 18:00:00",57.199,35786.495,35786
"2022-08-28 01:59:59",57.203,35786.504,35786
"2022-08-28 10:00:00",57.193,35786.345,35786
"2022-08-28 18:00:00",57.2,35786.179,35786
"2022-08-29 01:59:59",57.203,35786.213,35786
"2022-08-29 10:00:00",57.192,35786.119,35786
"2022-08-29 18:00:00",57.202,35786.003,35786
"2022-08-30 01:59:59",57.205,35786.129,35786
"2022-08-30 10:00:00",57.199,35786.116,35786
"2022-08-30 18:00:00",57.207,35786.085,35786
"2022-08-31 01:59:59",57.212,35786.291,35786
"2022-08-31 10:00:00",57.205,35786.381,35786
"2022-08-31 18:00:00",57.215,35786.405,35786
"2022-09-01 01:59:59",57.219,35786.645,35786
"2022-09-01 10:00:00",57.213,35786.786,35786
"2022-09-01 18:00:00",57.218,35786.808,35786
"2022-09-02 01:59:59",57.226,35787.038,35786
"2022-09-02 10:00:00",57.22,35787.178,35786
"2022-09-02 18:00:00",57.217,35787.144,35786
"2022-09-03 01:59:59",57.222,35787.206,35786
"2022-09-03 10:00:00",57.221,35787.181,35786
"2022-09-03 18:00:00",57.208,35787.118,35786
"2022-09-04 01:59:59",57.216,35787.145,35786
"2022-09-04 10:00:00",57.213,35787.174,35786
"2022-09-04 18:00:00",57.201,35787.113,35786
"2022-09-05 01:59:59",57.21,35787.121,35786
"2022-09-05 10:00:00",57.207,35787.179,35786
"2022-09-05 18:00:00",57.196,35787.116,35786
"2022-09-06 01:59:59",57.204,35787.109,35786
"2022-09-06 10:00:00",57.204,35787.173,35786
"2022-09-06 18:00:00",57.195,35787.112,35786
"2022-09-07 01:59:59",57.2,35787.073,35786
"2022-09-07 10:00:00",57.199,35787.132,35786
"2022-09-07 18:00:00",57.189,35787.064,35786
"2022-09-08 01:59:59",57.198,35787.003,35786
"2022-09-08 10:00:00",57.194,35787.053,35786
"2022-09-08 18:00:00",57.188,35786.945,35786
"2022-09-09 01:59:59",57.193,35786.901,35786
"2022-09-09 10:00:00",57.188,35787.004,35786
"2022-09-09 18:00:00",57.188,35786.803,35786
"2022-09-10 01:59:59",57.193,35786.706,35786
"2022-09-10 10:00:00",57.181,35786.656,35786
"2022-09-10 18:00:00",57.182,35786.375,35786
