time_s,q0,q1,q2,q3,wx_rad_s,wy_rad_s,wz_rad_s,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,adcs_mode,pointing_error_arcsec
0.0,1.0,0.0,0.0,0.0,-0.0001311,-6.46e-05,0.0009958,0.0,0.0,0.0,Fine Point,78.97
0.1,0.99999988,5e-05,0.000495,2.5e-05,0.0001135,1.97e-05,0.0010028,0.0057,0.0567,0.0029,Fine Point,14.3
0.2,0.9999995,0.0001,0.00099,5e-05,1.6e-05,-7.45e-05,0.000994,0.0115,0.1134,0.0057,Fine Point,26.68
0.3,0.99999888,0.00015,0.001485,7.5e-05,-7.2e-06,0.0001643,0.0009826,0.0172,0.1702,0.0086,Fine Point,66.63
0.4,0.99999801,0.0002,0.00198,0.0001,-1.02e-05,-0.0001464,0.0009958,0.0229,0.2269,0.0115,Fine Point,22.67
0.5,0.9999969,0.00025,0.002475,0.000125,1.49e-05,-7.19e-05,0.0010052,0.0287,0.2836,0.0144,Fine Point,55.52
0.6,0.99999553,0.0003,0.00297,0.00015,0.0002815,5.94e-05,0.0010132,0.0344,0.3403,0.0173,Fine Point,13.71
0.7,0.99999392,0.00035,0.00346499,0.000175,8.3e-05,-0.0001716,0.0010002,0.0402,0.3971,0.0202,Fine Point,51.6
0.8,0.99999206,0.0004,0.00395999,0.0002,-0.0001092,9.85e-05,0.0009991,0.0459,0.4538,0.0231,Fine Point,29.91
0.9,0.99998995,0.00045,0.00445498,0.000225,-0.0001696,-9.01e-05,0.0010074,0.0517,0.5105,0.026,Fine Point,13.12
1.0,0.99998759,0.0005,0.00494998,0.00025,1.39e-05,-2.98e-05,0.0009889,0.0574,0.5672,0.0289,Fine Point,12.75
1.1,0.99998499,0.00055,0.00544497,0.000275,-0.0002407,3.62e-05,0.0010064,0.0632,0.6239,0.0319,Fine Point,17.08
1.2,0.99998213,0.0006,0.00593996,0.0003,-4.03e-05,-9.09e-05,0.000999,0.069,0.6807,0.0348,Fine Point,61.29
1.3,0.99997903,0.00065,0.00643495,0.000325,-7.57e-05,3.29e-05,0.0010029,0.0747,0.7374,0.0377,Fine Point,46.9
1.4,0.99997568,0.00069999,0.00692994,0.00035,-4.93e-05,0.0001126,0.0010044,0.0805,0.7941,0.0407,Fine Point,6.19
1.5,0.99997208,0.00074999,0.00742493,0.000375,-9.17e-05,-1.83e-05,0.0010077,0.0863,0.8508,0.0436,Fine Point,56.97
1.6,0.99996824,0.00079999,0.00791992,0.0004,-4.61e-05,-6.51e-05,0.0009977,0.092,0.9075,0.0466,Fine Point,89.3
1.7,0.99996414,0.00084999,0.0084149,0.00042499,-4.4e-06,0.0001324,0.0009854,0.0978,0.9642,0.0495,Fine Point,18.14
1.8,0.9999598,0.00089999,0.00890988,0.00044999,7.7e-06,0.0001491,0.0010016,0.1036,1.021,0.0525,Fine Point,60.07
1.9,0.99995521,0.00094999,0.00940486,0.00047499,-0.0001386,-0.000284,0.0009994,0.1094,1.0777,0.0555,Fine Point,6.72
2.0,0.99995037,0.00099998,0.00989984,0.00049999,3.75e-05,2e-06,0.0009896,0.1152,1.1344,0.0584,Fine Point,32.3
2.1,0.99994528,0.00104998,0.01039481,0.00052499,-3.67e-05,-8.55e-05,0.0009988,0.121,1.1911,0.0614,Fine Point,37.63
2.2,0.99993995,0.00109998,0.01088978,0.00054999,0.0001358,2.95e-05,0.0010126,0.1268,1.2478,0.0644,Fine Point,23.49
2.3,0.99993436,0.00114997,0.01138476,0.00057499,5.5e-05,-4.32e-05,0.0009959,0.1326,1.3045,0.0674,Fine Point,14.9
2.4,0.99992853,0.00119997,0.01187972,0.00059999,4.1e-05,-1.11e-05,0.0009923,0.1384,1.3613,0.0704,Fine Point,29.68
2.5,0.99992245,0.00124997,0.01237469,0.00062498,1.26e-05,-0.0001439,0.0010021,0.1442,1.418,0.0734,Fine Point,30.19
2.6,0.99991613,0.00129996,0.01286965,0.00064998,4.9e-05,4.09e-05,0.0009959,0.15,1.4747,0.0764,Fine Point,70.63
2.7,0.99990955,0.00134996,0.0133646,0.00067498,9.77e-05,5.03e-05,0.0010171,0.1558,1.5314,0.0794,Fine Point,2.56
2.8,0.99990273,0.00139995,0.01385956,0.00069998,-5.27e-05,-0.0001387,0.001001,0.1616,1.5881,0.0825,Fine Point,38.26
2.9,0.99989565,0.00144995,0.01435451,0.00072497,1.55e-05,-7.91e-05,0.0010092,0.1674,1.6448,0.0855,Fine Point,18.95
3.0,0.99988833,0.00149994,0.01484945,0.00074997,7.73e-05,-2e-06,0.0010024,0.1732,1.7016,0.0885,Fine Point,28.89
3.1,0.99988077,0.00154994,0.0153444,0.00077497,0.0002526,0.0001177,0.001003,0.179,1.7583,0.0916,Fine Point,47.55
3.2,0.99987295,0.00159993,0.01583934,0.00079997,-2.92e-05,-3.79e-05,0.0009897,0.1849,1.815,0.0946,Fine Point,13.41
3.3,0.99986489,0.00164993,0.01633428,0.00082496,-3.58e-05,-3.11e-05,0.0009928,0.1907,1.8717,0.0977,Fine Point,13.89
3.4,0.99985657,0.00169992,0.01682921,0.00084996,3.73e-05,8.3e-06,0.0009976,0.1965,1.9284,0.1007,Fine Point,85.79
3.5,0.99984801,0.00174991,0.01732414,0.00087496,0.0001165,1.38e-05,0.0009998,0.2024,1.9851,0.1038,Fine Point,1.71
3.6,0.9998392,0.0017999,0.01781906,0.00089995,9.67e-05,2.34e-05,0.0010052,0.2082,2.0418,0.1069,Slewing,36.45
3.7,0.99983015,0.00184989,0.01831398,0.00092495,-6.7e-06,5.4e-06,0.0009955,0.214,2.0985,0.1099,Slewing,82.82
3.8,0.99982084,0.00189989,0.0188089,0.00094994,-0.0001008,1.39e-05,0.0009975,0.2199,2.1553,0.113,Slewing,90.56
3.9,0.99981129,0.00194988,0.01930381,0.00097494,6.47e-05,3.05e-05,0.0009886,0.2257,2.212,0.1161,Slewing,50.76
4.0,0.99980149,0.00199987,0.01979871,0.00099993,9.5e-06,-4.99e-05,0.0009698,0.2316,2.2687,0.1192,Slewing,34.01
4.1,0.99979144,0.00204986,0.02029361,0.00102493,-4.25e-05,7.35e-05,0.0010321,0.2374,2.3254,0.1223,Slewing,57.95
